id_mutation.string(),date_mutation.date(2006-01-02),nature_mutation.string(),valeur_fonciere.double(),adresse_numero.int32(),adresse_nom_voie.string(),adresse_code_voie.string(),code_postal.int32(),code_commune.int32(),nom_commune.string(),code_departement.int32(),nombre_lots.int64(),type_local.string(),surface_reelle_bati.double(),nombre_pieces_principales.int32(),longitude.double(),latitude.double()
2021-1674632,2021-07-20,Vente,274900.0,13,RUE ALEXIS DE VILLENEUVE,0010,97412,97402,Bras-Panon,974,0,Maison,116.0,4,55.676136,-20.993626
2021-1674633,2021-08-03,Vente,733852.0,2,RUE DES DEMOISELLES,1625,97434,97415,Saint-Paul,974,0,Maison,112.0,4,55.230002,-21.083452
2021-1674635,2021-08-03,Vente en l'état futur d'achèvement,319723.0,44,RUE SAINT PHILIPPE,1300,97400,97411,Saint-Denis,974,1,Appartement,75.0,4,55.452509,-20.889583
2021-1674636,2021-08-13,Vente,129010.0,26,RUE DE L ABATTOIR,0010,97400,97411,Saint-Denis,974,1,Appartement,45.0,2,55.443835,-20.878704
2021-1674637,2021-08-18,Vente,137000.0,9,RUE OMEGA,1854,97460,97415,Saint-Paul,974,1,Appartement,45.0,3,55.284205,-20.983935
2021-1674638,2021-07-20,Vente,65000.0,26,RUE DE LA BOURGOGNE,0226,97490,97411,Saint-Denis,974,1,Appartement,30.0,2,55.486029,-20.907274
2021-1674640,2021-07-26,Vente,180000.0,25,LOT LES SALINES,A586,97434,97415,Saint-Paul,974,1,Maison,36.0,3,55.251116,-21.10547
2021-1674641,2021-08-11,Vente,66000.0,4,RUE JOSEPH LUC,0863,97490,97411,Saint-Denis,974,1,Appartement,51.0,2,55.481599,-20.890608
2021-1674642,2021-08-13,Vente,312000.0,4,RUE FRANCOIS COUPOU,0628,97441,97420,Sainte-Suzanne,974,0,Maison,123.0,4,55.643933,-20.937391
2021-1674643,2021-08-13,Vente,253000.0,9999,CHE SUMMER N 1 (ST G LES BNS),1404,97434,97415,Saint-Paul,974,1,Appartement,41.0,2,55.225446,-21.047506
2021-1674644,2021-07-30,Vente,103210.0,23,RUE DES JACINTHES,0634,97490,97411,Saint-Denis,974,1,Appartement,17.0,1,55.483971,-20.910698
2021-1674644,2021-07-30,Vente,103210.0,23,RUE DES JACINTHES,0634,97490,97411,Saint-Denis,974,1,Appartement,17.0,1,55.483971,-20.910698
2021-1674644,2021-07-30,Vente,103210.0,23,RUE DES JACINTHES,0634,97490,97411,Saint-Denis,974,1,Appartement,17.0,1,55.483971,-20.910698
2021-1674646,2021-07-21,Vente,65000.0,3,RUE DE L ANJOU,0094,97490,97411,Saint-Denis,974,1,Appartement,30.0,2,55.490874,-20.902756
2021-1674647,2021-07-20,Vente,89100.0,4,RUE DU PORT,1170,97434,97415,Saint-Paul,974,1,Appartement,18.0,2,55.224235,-21.053461
2021-1674648,2021-07-23,Vente,140000.0,43,CHE DES PECHERS,1094,97490,97411,Saint-Denis,974,1,Appartement,29.0,3,55.477226,-20.910051
2021-1674649,2021-07-22,Vente,82000.0,212,ALL DES TOPAZES,1397,97400,97411,Saint-Denis,974,1,Appartement,42.0,2,55.443434,-20.906418
2021-1674650,2021-08-10,Vente,161000.0,80,RUE JULES AUBER,0680,97400,97411,Saint-Denis,974,1,Appartement,24.0,1,55.452868,-20.879598
2021-1674650,2021-08-10,Vente,161000.0,95,RUE MONTHYON,0960,97400,97411,Saint-Denis,974,1,Appartement,33.0,1,55.460985,-20.886521
2021-1674650,2021-08-10,Vente,161000.0,172,RTE GABRIEL MACE,0556,97490,97411,Saint-Denis,974,1,Appartement,31.0,1,55.49426,-20.919801
2021-1674652,2021-07-28,Vente,56000.0,107,RTE DE BOIS DE NEFLES,0211,97490,97411,Saint-Denis,974,1,Appartement,1.0,1,55.475693,-20.899271
2021-1674653,2021-08-03,Vente,459800.0,5,RUE ANATOLE FRANCE,0085,97400,97411,Saint-Denis,974,0,Maison,95.0,4,55.464001,-20.893791
2021-1674654,2021-08-18,Vente,65000.0,14,RUE DU BEARN,0157,97490,97411,Saint-Denis,974,1,Appartement,33.0,2,55.489445,-20.903177
2021-1674655,2021-08-18,Vente,167000.0,57,CHE COMMINS,0359,97417,97411,Saint-Denis,974,1,Appartement,61.0,3,55.407749,-20.890099
2021-1674656,2021-08-18,Vente,231314.1,11,RUE ETIENNE LA FEUILLADE,0206,97431,97406,La Plaine-des-Palmistes,974,0,Maison,81.0,4,55.612689,-21.139222
2021-1674657,2021-08-06,Vente,515000.0,56,RTE DU TROU D EAU,1453,97434,97415,Saint-Paul,974,0,Maison,102.0,5,55.240689,-21.098157
